MonthKey,MonthStartDate,Year,MonthNum,MonthName,MonthYear,Quarter,Season,Season_Month_Order,Season_Phase,Home_Games_Month,Transfer_Window,League
202201,2022-01-01,2022,1,Jan,Jan 2022,Q1,2021/22,7,Transfer Window,2,Yes,Premier League
202202,2022-02-01,2022,2,Feb,Feb 2022,Q1,2021/22,8,Mid Season,3,No,Premier League
202203,2022-03-01,2022,3,Mar,Mar 2022,Q1,2021/22,9,Mid Season,2,No,Premier League
202204,2022-04-01,2022,4,Apr,Apr 2022,Q2,2021/22,10,Late Season,3,No,Premier League
202205,2022-05-01,2022,5,May,May 2022,Q2,2021/22,11,Late Season,2,No,Premier League
202206,2022-06-01,2022,6,Jun,Jun 2022,Q2,2021/22,12,Off Season,0,No,Premier League
202207,2022-07-01,2022,7,Jul,Jul 2022,Q3,2022/23,1,Pre-Season,1,No,Championship
202208,2022-08-01,2022,8,Aug,Aug 2022,Q3,2022/23,2,Early Season,3,Yes,Championship
202209,2022-09-01,2022,9,Sep,Sep 2022,Q3,2022/23,3,Early Season,2,No,Championship
202210,2022-10-01,2022,10,Oct,Oct 2022,Q4,2022/23,4,Mid Season,3,No,Championship
202211,2022-11-01,2022,11,Nov,Nov 2022,Q4,2022/23,5,Mid Season,2,No,Championship
202212,2022-12-01,2022,12,Dec,Dec 2022,Q4,2022/23,6,Festive Period,4,No,Championship
202301,2023-01-01,2023,1,Jan,Jan 2023,Q1,2022/23,7,Transfer Window,2,Yes,Championship
202302,2023-02-01,2023,2,Feb,Feb 2023,Q1,2022/23,8,Mid Season,3,No,Championship
202303,2023-03-01,2023,3,Mar,Mar 2023,Q1,2022/23,9,Mid Season,2,No,Championship
202304,2023-04-01,2023,4,Apr,Apr 2023,Q2,2022/23,10,Late Season,3,No,Championship
202305,2023-05-01,2023,5,May,May 2023,Q2,2022/23,11,Late Season,2,No,Championship
202306,2023-06-01,2023,6,Jun,Jun 2023,Q2,2022/23,12,Off Season,0,No,Championship
202307,2023-07-01,2023,7,Jul,Jul 2023,Q3,2023/24,1,Pre-Season,1,No,Championship
202308,2023-08-01,2023,8,Aug,Aug 2023,Q3,2023/24,2,Early Season,3,Yes,Championship
202309,2023-09-01,2023,9,Sep,Sep 2023,Q3,2023/24,3,Early Season,2,No,Championship
202310,2023-10-01,2023,10,Oct,Oct 2023,Q4,2023/24,4,Mid Season,3,No,Championship
202311,2023-11-01,2023,11,Nov,Nov 2023,Q4,2023/24,5,Mid Season,2,No,Championship
202312,2023-12-01,2023,12,Dec,Dec 2023,Q4,2023/24,6,Festive Period,4,No,Championship
202401,2024-01-01,2024,1,Jan,Jan 2024,Q1,2023/24,7,Transfer Window,2,Yes,Championship
202402,2024-02-01,2024,2,Feb,Feb 2024,Q1,2023/24,8,Mid Season,3,No,Championship
202403,2024-03-01,2024,3,Mar,Mar 2024,Q1,2023/24,9,Mid Season,2,No,Championship
202404,2024-04-01,2024,4,Apr,Apr 2024,Q2,2023/24,10,Late Season,3,No,Championship
202405,2024-05-01,2024,5,May,May 2024,Q2,2023/24,11,Late Season,2,No,Championship
202406,2024-06-01,2024,6,Jun,Jun 2024,Q2,2023/24,12,Off Season,0,No,Championship
202407,2024-07-01,2024,7,Jul,Jul 2024,Q3,2024/25,1,Pre-Season,1,No,Championship
202408,2024-08-01,2024,8,Aug,Aug 2024,Q3,2024/25,2,Early Season,3,Yes,Championship
202409,2024-09-01,2024,9,Sep,Sep 2024,Q3,2024/25,3,Early Season,2,No,Championship
202410,2024-10-01,2024,10,Oct,Oct 2024,Q4,2024/25,4,Mid Season,3,No,Championship
202411,2024-11-01,2024,11,Nov,Nov 2024,Q4,2024/25,5,Mid Season,2,No,Championship
202412,2024-12-01,2024,12,Dec,Dec 2024,Q4,2024/25,6,Festive Period,4,No,Championship
202501,2025-01-01,2025,1,Jan,Jan 2025,Q1,2024/25,7,Transfer Window,2,Yes,Championship
202502,2025-02-01,2025,2,Feb,Feb 2025,Q1,2024/25,8,Mid Season,3,No,Championship
202503,2025-03-01,2025,3,Mar,Mar 2025,Q1,2024/25,9,Mid Season,2,No,Championship
202504,2025-04-01,2025,4,Apr,Apr 2025,Q2,2024/25,10,Late Season,3,No,Championship
202505,2025-05-01,2025,5,May,May 2025,Q2,2024/25,11,Late Season,2,No,Championship
202506,2025-06-01,2025,6,Jun,Jun 2025,Q2,2024/25,12,Off Season,0,No,Championship
202507,2025-07-01,2025,7,Jul,Jul 2025,Q3,2025/26,1,Pre-Season,1,No,Championship
202508,2025-08-01,2025,8,Aug,Aug 2025,Q3,2025/26,2,Early Season,3,Yes,Championship
202509,2025-09-01,2025,9,Sep,Sep 2025,Q3,2025/26,3,Early Season,2,No,Championship
202510,2025-10-01,2025,10,Oct,Oct 2025,Q4,2025/26,4,Mid Season,3,No,Championship
202511,2025-11-01,2025,11,Nov,Nov 2025,Q4,2025/26,5,Mid Season,2,No,Championship
202512,2025-12-01,2025,12,Dec,Dec 2025,Q4,2025/26,6,Festive Period,4,No,Championship
202601,2026-01-01,2026,1,Jan,Jan 2026,Q1,2025/26,7,Transfer Window,2,Yes,Championship
202602,2026-02-01,2026,2,Feb,Feb 2026,Q1,2025/26,8,Mid Season,3,No,Championship
202603,2026-03-01,2026,3,Mar,Mar 2026,Q1,2025/26,9,Mid Season,2,No,Championship
202604,2026-04-01,2026,4,Apr,Apr 2026,Q2,2025/26,10,Late Season,3,No,Championship
202605,2026-05-01,2026,5,May,May 2026,Q2,2025/26,11,Late Season,2,No,Championship
202606,2026-06-01,2026,6,Jun,Jun 2026,Q2,2025/26,12,Off Season,0,No,Championship
