CustomerKey,RegionKey,HomeCountry,MacroRegion,Segment,AcquisitionChannel,JoinDate,TenureBucket,IsLoyaltyMember
110,1,United Kingdom,EMEA,Casual Fan,Email,2022-06-29,2+ years,0
111,2,Spain,EMEA,Casual Fan,Email,2024-01-31,1-2 years,0
112,1,United Kingdom,EMEA,Casual Fan,Paid Social,2025-02-13,6-12 months,0
113,7,Japan,APAC,Hardcore Fan,Email,2022-11-17,2+ years,0
114,6,Mexico,Americas,Casual Fan,Email,2022-02-25,2+ years,0
115,5,Brazil,Americas,Casual Fan,Direct,2025-11-08,0-6 months,0
116,7,Japan,APAC,Casual Fan,Paid Social,2023-06-08,2+ years,0
117,6,Mexico,Americas,Casual Fan,Influencer,2025-01-16,6-12 months,0
118,1,United Kingdom,EMEA,Casual Fan,Direct,2022-10-01,2+ years,0
119,7,Japan,APAC,Casual Fan,Email,2023-01-04,2+ years,0
120,4,United States,Americas,Casual Fan,Direct,2025-09-27,0-6 months,1
121,6,Mexico,Americas,Casual Fan,Organic Search,2022-02-16,2+ years,0
122,7,Japan,APAC,Casual Fan,Direct,2025-09-23,0-6 months,0
123,2,Spain,EMEA,Hardcore Fan,Email,2024-01-23,1-2 years,1
124,1,United Kingdom,EMEA,Casual Fan,Email,2022-04-29,2+ years,0
125,2,Spain,EMEA,Hardcore Fan,Direct,2023-02-10,2+ years,1
126,3,Germany,EMEA,Hardcore Fan,Influencer,2023-03-31,2+ years,1
127,6,Mexico,Americas,Hardcore Fan,Organic Search,2021-02-13,2+ years,0
128,7,Japan,APAC,Casual Fan,Organic Search,2024-09-01,1-2 years,0
129,1,United Kingdom,EMEA,Hardcore Fan,Organic Search,2021-02-27,2+ years,1
130,4,United States,Americas,Casual Fan,Paid Social,2022-08-30,2+ years,1
131,3,Germany,EMEA,Casual Fan,App Store,2024-03-11,1-2 years,1
132,2,Spain,EMEA,Casual Fan,Paid Social,2022-01-25,2+ years,1
133,1,United Kingdom,EMEA,Collector,Direct,2023-02-26,2+ years,1
134,2,Spain,EMEA,Casual Fan,App Store,2025-01-09,6-12 months,0
135,8,Australia,APAC,Collector,Direct,2023-10-26,2+ years,1
136,2,Spain,EMEA,Casual Fan,Organic Search,2025-11-18,0-6 months,0
137,4,United States,Americas,Collector,Influencer,2024-12-27,1-2 years,0
138,5,Brazil,Americas,Collector,Email,2022-03-11,2+ years,1
139,3,Germany,EMEA,Collector,App Store,2021-05-03,2+ years,0
140,8,Australia,APAC,Casual Fan,Direct,2023-10-11,2+ years,0
141,8,Australia,APAC,Hardcore Fan,App Store,2025-12-23,0-6 months,1
142,2,Spain,EMEA,Collector,App Store,2022-09-18,2+ years,0
143,4,United States,Americas,Casual Fan,Organic Search,2023-08-10,2+ years,0
144,2,Spain,EMEA,Casual Fan,Direct,2023-01-29,2+ years,0
145,2,Spain,EMEA,Hardcore Fan,Email,2023-05-26,2+ years,0
146,1,United Kingdom,EMEA,Casual Fan,Organic Search,2021-01-18,2+ years,0
147,4,United States,Americas,Hardcore Fan,Direct,2025-02-17,6-12 months,1
148,4,United States,Americas,Casual Fan,Organic Search,2022-11-16,2+ years,1
149,1,United Kingdom,EMEA,Casual Fan,Influencer,2022-05-26,2+ years,0
150,2,Spain,EMEA,Casual Fan,Paid Social,2025-10-30,0-6 months,0
151,7,Japan,APAC,Casual Fan,Influencer,2024-05-31,1-2 years,1
152,2,Spain,EMEA,Casual Fan,Direct,2022-12-23,2+ years,1
153,1,United Kingdom,EMEA,Hardcore Fan,App Store,2021-09-01,2+ years,0
154,4,United States,Americas,Casual Fan,Organic Search,2021-01-09,2+ years,1
155,8,Australia,APAC,Hardcore Fan,Direct,2024-10-01,1-2 years,1
156,2,Spain,EMEA,Hardcore Fan,App Store,2023-06-17,2+ years,0
157,5,Brazil,Americas,Casual Fan,Paid Social,2021-05-02,2+ years,0
158,6,Mexico,Americas,Casual Fan,Influencer,2022-04-25,2+ years,0
159,2,Spain,EMEA,Casual Fan,Paid Social,2024-08-14,1-2 years,1
160,5,Brazil,Americas,Casual Fan,Influencer,2024-10-20,1-2 years,0
161,3,Germany,EMEA,Casual Fan,Email,2024-09-11,1-2 years,0
162,5,Brazil,Americas,Casual Fan,Direct,2023-05-02,2+ years,0
163,5,Brazil,Americas,Collector,Paid Social,2023-04-20,2+ years,1
164,4,United States,Americas,Casual Fan,Influencer,2024-02-07,1-2 years,1
165,1,United Kingdom,EMEA,Hardcore Fan,Organic Search,2023-04-16,2+ years,0
166,7,Japan,APAC,Collector,Organic Search,2023-05-07,2+ years,1
167,2,Spain,EMEA,Hardcore Fan,Organic Search,2022-06-27,2+ years,0
168,1,United Kingdom,EMEA,Hardcore Fan,App Store,2024-02-20,1-2 years,1
169,1,United Kingdom,EMEA,Hardcore Fan,Email,2021-10-02,2+ years,0
170,4,United States,Americas,Casual Fan,Email,2021-03-12,2+ years,0
171,5,Brazil,Americas,Collector,Paid Social,2024-04-13,1-2 years,1
172,1,United Kingdom,EMEA,Collector,Email,2024-08-09,1-2 years,0
173,4,United States,Americas,Casual Fan,Paid Social,2023-05-12,2+ years,0
174,2,Spain,EMEA,Casual Fan,App Store,2025-02-07,6-12 months,0
175,5,Brazil,Americas,Casual Fan,Paid Social,2025-10-11,0-6 months,0
176,1,United Kingdom,EMEA,Casual Fan,App Store,2025-10-26,0-6 months,1
177,5,Brazil,Americas,Casual Fan,Email,2023-11-09,2+ years,0
178,3,Germany,EMEA,Hardcore Fan,Email,2025-10-19,0-6 months,1
179,7,Japan,APAC,Hardcore Fan,Influencer,2024-01-22,1-2 years,1
180,1,United Kingdom,EMEA,Casual Fan,Email,2024-12-03,1-2 years,0
181,2,Spain,EMEA,Casual Fan,Paid Social,2023-12-13,2+ years,1
182,1,United Kingdom,EMEA,Hardcore Fan,Email,2023-10-19,2+ years,1
183,7,Japan,APAC,Casual Fan,Email,2023-09-19,2+ years,0
184,7,Japan,APAC,Casual Fan,Paid Social,2025-02-17,6-12 months,0
185,2,Spain,EMEA,Hardcore Fan,Email,2022-08-10,2+ years,0
186,5,Brazil,Americas,Casual Fan,Organic Search,2025-07-26,0-6 months,0
187,6,Mexico,Americas,Casual Fan,App Store,2022-07-12,2+ years,0
188,4,United States,Americas,Casual Fan,Direct,2024-12-09,1-2 years,0
189,4,United States,Americas,Hardcore Fan,Organic Search,2025-04-21,6-12 months,1
190,2,Spain,EMEA,Hardcore Fan,Influencer,2024-03-01,1-2 years,0
191,1,United Kingdom,EMEA,Casual Fan,Paid Social,2022-10-04,2+ years,1
192,7,Japan,APAC,Casual Fan,Direct,2022-11-10,2+ years,0
193,7,Japan,APAC,Hardcore Fan,App Store,2024-06-20,1-2 years,1
194,5,Brazil,Americas,Collector,Influencer,2025-10-27,0-6 months,1
195,2,Spain,EMEA,Hardcore Fan,Organic Search,2021-04-01,2+ years,1
196,2,Spain,EMEA,Hardcore Fan,Email,2024-10-01,1-2 years,1
197,5,Brazil,Americas,Casual Fan,Direct,2023-07-04,2+ years,1
198,7,Japan,APAC,Hardcore Fan,Organic Search,2024-10-19,1-2 years,1
199,7,Japan,APAC,Collector,Organic Search,2024-02-20,1-2 years,1
200,6,Mexico,Americas,Hardcore Fan,Organic Search,2021-12-25,2+ years,1
201,5,Brazil,Americas,Collector,App Store,2022-12-06,2+ years,0
202,1,United Kingdom,EMEA,Casual Fan,Influencer,2024-02-12,1-2 years,1
203,1,United Kingdom,EMEA,Collector,App Store,2022-02-23,2+ years,0
204,7,Japan,APAC,Hardcore Fan,Paid Social,2022-06-07,2+ years,1
205,4,United States,Americas,Hardcore Fan,Email,2021-07-06,2+ years,1
206,1,United Kingdom,EMEA,Casual Fan,Email,2024-01-07,1-2 years,1
207,1,United Kingdom,EMEA,Hardcore Fan,Influencer,2025-05-25,6-12 months,0
208,5,Brazil,Americas,Hardcore Fan,Email,2023-03-22,2+ years,0
209,1,United Kingdom,EMEA,Casual Fan,Email,2025-02-19,6-12 months,1
210,1,United Kingdom,EMEA,Hardcore Fan,Direct,2025-06-28,6-12 months,1
211,4,United States,Americas,Hardcore Fan,Paid Social,2023-05-07,2+ years,0
212,5,Brazil,Americas,Casual Fan,Organic Search,2022-12-28,2+ years,1
213,5,Brazil,Americas,Casual Fan,Email,2025-07-12,0-6 months,0
214,2,Spain,EMEA,Hardcore Fan,Email,2021-01-05,2+ years,0
215,5,Brazil,Americas,Casual Fan,Organic Search,2025-08-17,0-6 months,0
216,2,Spain,EMEA,Casual Fan,Email,2025-10-12,0-6 months,1
217,2,Spain,EMEA,Casual Fan,Email,2023-03-11,2+ years,1
218,6,Mexico,Americas,Casual Fan,Organic Search,2021-10-30,2+ years,0
219,5,Brazil,Americas,Casual Fan,Organic Search,2021-03-31,2+ years,0
220,7,Japan,APAC,Casual Fan,App Store,2022-07-16,2+ years,0
221,5,Brazil,Americas,Hardcore Fan,Organic Search,2021-12-21,2+ years,0
222,4,United States,Americas,Hardcore Fan,Paid Social,2021-07-21,2+ years,1
223,1,United Kingdom,EMEA,Hardcore Fan,Paid Social,2023-08-12,2+ years,0
224,3,Germany,EMEA,Casual Fan,Direct,2025-08-19,0-6 months,0
225,2,Spain,EMEA,Casual Fan,Direct,2024-01-24,1-2 years,1
226,2,Spain,EMEA,Casual Fan,App Store,2025-06-03,6-12 months,1
227,8,Australia,APAC,Hardcore Fan,Email,2022-11-26,2+ years,1
228,3,Germany,EMEA,Hardcore Fan,Influencer,2023-04-06,2+ years,1
229,7,Japan,APAC,Hardcore Fan,Paid Social,2024-04-06,1-2 years,1
230,5,Brazil,Americas,Casual Fan,Paid Social,2023-10-10,2+ years,1
231,6,Mexico,Americas,Hardcore Fan,App Store,2025-09-18,0-6 months,1
232,4,United States,Americas,Casual Fan,Email,2022-03-06,2+ years,0
233,4,United States,Americas,Hardcore Fan,Email,2025-09-05,0-6 months,0
234,4,United States,Americas,Casual Fan,App Store,2025-08-01,0-6 months,0
235,1,United Kingdom,EMEA,Casual Fan,App Store,2024-10-13,1-2 years,1
236,5,Brazil,Americas,Casual Fan,Email,2022-12-23,2+ years,0
237,2,Spain,EMEA,Hardcore Fan,Organic Search,2025-10-22,0-6 months,1
238,1,United Kingdom,EMEA,Casual Fan,Organic Search,2022-12-03,2+ years,0
239,5,Brazil,Americas,Casual Fan,Direct,2025-12-25,0-6 months,0
240,1,United Kingdom,EMEA,Casual Fan,App Store,2021-04-24,2+ years,1
241,8,Australia,APAC,Collector,App Store,2022-06-16,2+ years,1
242,8,Australia,APAC,Casual Fan,App Store,2025-06-12,6-12 months,0
243,7,Japan,APAC,Hardcore Fan,Influencer,2022-05-20,2+ years,1
244,3,Germany,EMEA,Collector,App Store,2024-09-11,1-2 years,1
245,1,United Kingdom,EMEA,Collector,Influencer,2024-08-13,1-2 years,1
246,7,Japan,APAC,Collector,Influencer,2024-10-23,1-2 years,1
247,3,Germany,EMEA,Collector,Paid Social,2023-05-14,2+ years,1
248,8,Australia,APAC,Casual Fan,Email,2025-12-03,0-6 months,1
249,8,Australia,APAC,Casual Fan,Paid Social,2024-11-19,1-2 years,1
250,7,Japan,APAC,Hardcore Fan,Organic Search,2023-11-20,2+ years,1
251,2,Spain,EMEA,Casual Fan,Paid Social,2022-01-22,2+ years,1
252,3,Germany,EMEA,Casual Fan,App Store,2023-08-26,2+ years,0
253,7,Japan,APAC,Hardcore Fan,App Store,2021-02-23,2+ years,1
254,2,Spain,EMEA,Hardcore Fan,Organic Search,2022-11-18,2+ years,1
255,1,United Kingdom,EMEA,Hardcore Fan,Direct,2023-09-06,2+ years,1
256,4,United States,Americas,Hardcore Fan,App Store,2023-02-01,2+ years,0
257,7,Japan,APAC,Hardcore Fan,Organic Search,2021-01-10,2+ years,0
258,5,Brazil,Americas,Casual Fan,Influencer,2025-12-16,0-6 months,0
259,4,United States,Americas,Casual Fan,Paid Social,2024-07-12,1-2 years,1
260,1,United Kingdom,EMEA,Collector,Email,2021-05-15,2+ years,1
261,4,United States,Americas,Casual Fan,App Store,2022-07-27,2+ years,0
262,8,Australia,APAC,Casual Fan,Organic Search,2022-06-10,2+ years,0
263,1,United Kingdom,EMEA,Hardcore Fan,Email,2021-09-15,2+ years,1
264,4,United States,Americas,Casual Fan,Email,2024-11-30,1-2 years,0
265,7,Japan,APAC,Casual Fan,App Store,2022-03-20,2+ years,0
266,6,Mexico,Americas,Casual Fan,Direct,2021-10-28,2+ years,1
267,5,Brazil,Americas,Casual Fan,App Store,2025-12-17,0-6 months,1
268,5,Brazil,Americas,Casual Fan,Paid Social,2023-11-16,2+ years,0
269,2,Spain,EMEA,Hardcore Fan,Email,2025-01-06,6-12 months,0
270,2,Spain,EMEA,Casual Fan,Organic Search,2023-10-12,2+ years,1
271,6,Mexico,Americas,Casual Fan,App Store,2023-08-22,2+ years,1
272,6,Mexico,Americas,Casual Fan,Paid Social,2023-11-29,2+ years,1
273,7,Japan,APAC,Casual Fan,App Store,2024-06-23,1-2 years,0
274,7,Japan,APAC,Collector,Email,2023-09-27,2+ years,1
275,4,United States,Americas,Casual Fan,Organic Search,2025-08-14,0-6 months,0
276,4,United States,Americas,Collector,Email,2024-05-16,1-2 years,0
277,6,Mexico,Americas,Casual Fan,Paid Social,2025-08-16,0-6 months,0
278,5,Brazil,Americas,Hardcore Fan,App Store,2022-09-20,2+ years,0
279,5,Brazil,Americas,Casual Fan,Influencer,2021-07-20,2+ years,0
280,6,Mexico,Americas,Casual Fan,Organic Search,2024-04-19,1-2 years,0
281,7,Japan,APAC,Casual Fan,Email,2022-01-16,2+ years,0
282,2,Spain,EMEA,Hardcore Fan,Direct,2025-12-22,0-6 months,1
283,3,Germany,EMEA,Casual Fan,Direct,2024-04-12,1-2 years,0
284,1,United Kingdom,EMEA,Casual Fan,App Store,2022-10-29,2+ years,1
285,4,United States,Americas,Hardcore Fan,Organic Search,2023-05-18,2+ years,1
286,1,United Kingdom,EMEA,Casual Fan,Organic Search,2024-09-04,1-2 years,0
287,3,Germany,EMEA,Casual Fan,Direct,2024-02-13,1-2 years,0
288,4,United States,Americas,Hardcore Fan,Direct,2021-10-30,2+ years,1
289,2,Spain,EMEA,Casual Fan,Influencer,2021-05-22,2+ years,0
290,4,United States,Americas,Hardcore Fan,Organic Search,2025-12-20,0-6 months,0
291,1,United Kingdom,EMEA,Casual Fan,Organic Search,2022-06-12,2+ years,1
292,1,United Kingdom,EMEA,Casual Fan,Influencer,2024-03-17,1-2 years,0
293,7,Japan,APAC,Casual Fan,Paid Social,2025-03-05,6-12 months,1
294,3,Germany,EMEA,Collector,Direct,2024-11-11,1-2 years,1
295,1,United Kingdom,EMEA,Collector,Organic Search,2025-12-03,0-6 months,0
296,4,United States,Americas,Collector,Influencer,2023-11-19,2+ years,1
297,6,Mexico,Americas,Casual Fan,App Store,2021-09-17,2+ years,0
298,2,Spain,EMEA,Hardcore Fan,App Store,2023-08-19,2+ years,1
299,5,Brazil,Americas,Casual Fan,Email,2021-04-24,2+ years,1
300,1,United Kingdom,EMEA,Casual Fan,Paid Social,2021-01-08,2+ years,1
301,1,United Kingdom,EMEA,Hardcore Fan,Organic Search,2024-08-20,1-2 years,1
302,4,United States,Americas,Casual Fan,Paid Social,2021-09-12,2+ years,1
303,4,United States,Americas,Casual Fan,Direct,2021-03-25,2+ years,0
304,5,Brazil,Americas,Casual Fan,Email,2023-10-17,2+ years,1
305,5,Brazil,Americas,Hardcore Fan,Email,2023-11-06,2+ years,1
306,8,Australia,APAC,Casual Fan,Email,2024-08-19,1-2 years,0
307,4,United States,Americas,Casual Fan,Influencer,2025-12-28,0-6 months,0
308,2,Spain,EMEA,Collector,Influencer,2021-04-06,2+ years,1
309,6,Mexico,Americas,Casual Fan,Organic Search,2021-05-02,2+ years,0
310,2,Spain,EMEA,Casual Fan,App Store,2021-08-14,2+ years,0
311,3,Germany,EMEA,Hardcore Fan,Email,2021-01-29,2+ years,1
312,1,United Kingdom,EMEA,Hardcore Fan,Paid Social,2022-08-11,2+ years,0
313,1,United Kingdom,EMEA,Casual Fan,App Store,2024-09-09,1-2 years,0
314,8,Australia,APAC,Hardcore Fan,Organic Search,2024-02-17,1-2 years,1
315,7,Japan,APAC,Casual Fan,Paid Social,2024-04-09,1-2 years,0
316,5,Brazil,Americas,Casual Fan,App Store,2021-02-03,2+ years,1
317,3,Germany,EMEA,Casual Fan,Email,2025-12-03,0-6 months,0
318,1,United Kingdom,EMEA,Casual Fan,App Store,2024-08-21,1-2 years,0
319,1,United Kingdom,EMEA,Casual Fan,Paid Social,2024-04-26,1-2 years,0
320,2,Spain,EMEA,Collector,Email,2023-12-11,2+ years,1
321,4,United States,Americas,Hardcore Fan,Organic Search,2025-03-25,6-12 months,1
322,5,Brazil,Americas,Collector,Email,2021-05-13,2+ years,1
323,5,Brazil,Americas,Hardcore Fan,Organic Search,2024-10-21,1-2 years,1
324,2,Spain,EMEA,Casual Fan,Paid Social,2024-04-30,1-2 years,1
325,8,Australia,APAC,Casual Fan,Direct,2022-06-12,2+ years,1
326,5,Brazil,Americas,Collector,Direct,2024-04-25,1-2 years,1
327,4,United States,Americas,Hardcore Fan,Email,2021-07-03,2+ years,0
328,4,United States,Americas,Collector,Organic Search,2024-05-01,1-2 years,0
329,3,Germany,EMEA,Casual Fan,Organic Search,2024-01-13,1-2 years,1
330,2,Spain,EMEA,Casual Fan,Paid Social,2023-06-15,2+ years,1
331,2,Spain,EMEA,Casual Fan,Organic Search,2024-11-18,1-2 years,1
332,6,Mexico,Americas,Casual Fan,Organic Search,2023-09-12,2+ years,0
333,1,United Kingdom,EMEA,Casual Fan,Email,2025-09-07,0-6 months,0
334,1,United Kingdom,EMEA,Casual Fan,Organic Search,2025-03-07,6-12 months,0
335,1,United Kingdom,EMEA,Hardcore Fan,App Store,2022-08-27,2+ years,0
336,1,United Kingdom,EMEA,Casual Fan,Organic Search,2023-03-14,2+ years,1
337,7,Japan,APAC,Casual Fan,Influencer,2023-12-22,2+ years,1
338,5,Brazil,Americas,Hardcore Fan,Email,2021-02-02,2+ years,1
339,3,Germany,EMEA,Casual Fan,Direct,2022-05-08,2+ years,1
340,1,United Kingdom,EMEA,Casual Fan,Email,2021-05-23,2+ years,0
341,4,United States,Americas,Casual Fan,Email,2024-09-26,1-2 years,0
342,3,Germany,EMEA,Collector,Direct,2024-10-17,1-2 years,0
343,1,United Kingdom,EMEA,Casual Fan,Paid Social,2021-05-03,2+ years,1
344,3,Germany,EMEA,Collector,Email,2025-03-02,6-12 months,1
345,3,Germany,EMEA,Casual Fan,Influencer,2024-02-13,1-2 years,0
346,4,United States,Americas,Casual Fan,Organic Search,2024-10-12,1-2 years,1
347,5,Brazil,Americas,Casual Fan,Organic Search,2024-11-18,1-2 years,0
348,1,United Kingdom,EMEA,Casual Fan,Direct,2025-03-08,6-12 months,1
349,3,Germany,EMEA,Casual Fan,App Store,2022-08-15,2+ years,1
350,5,Brazil,Americas,Hardcore Fan,Email,2023-01-24,2+ years,0
351,4,United States,Americas,Casual Fan,Influencer,2024-03-05,1-2 years,0
